,ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
201,111,Temperature,2019,12,7,2019-12-07,28079111_83_98_19_12_07,32.166666666666664,75.0,14.0,ºC
202,107,Precipitation,2019,12,7,2019-12-07,28079107_89_98_19_12_07,2.458333333333333,11.0,1.0,l/m^2
203,112,Temperature,2019,12,7,2019-12-07,28079112_83_98_19_12_07,3.25,27.0,1.0,ºC
204,4,Temperature,2019,12,7,2019-12-07,28079004_83_98_19_12_07,0.5583333333333332,1.0,0.3,ºC
205,8,Temperature,2019,12,7,2019-12-07,28079008_83_98_19_12_07,1.2875,2.3,0.3,ºC
206,107,Temperature,2019,12,7,2019-12-07,28079107_83_98_19_12_07,39.875,120.0,8.0,ºC
207,113,Temperature,2019,12,7,2019-12-07,28079113_83_98_19_12_07,7.458333333333332,17.0,1.0,ºC
208,56,Precipitation,2019,12,7,2019-12-07,28079056_89_98_19_12_07,62.75791666666666,87.17,26.82,l/m^2
209,106,Temperature,2019,12,7,2019-12-07,28079106_83_98_19_12_07,15.708333333333336,51.0,6.0,ºC
210,103,Precipitation,2019,12,7,2019-12-07,28079103_89_98_19_12_07,1.1758333333333333,1.19,1.16,l/m^2
211,24,Precipitation,2019,12,7,2019-12-07,28079024_89_98_19_12_07,1.249583333333333,1.27,1.24,l/m^2
212,108,Precipitation,2019,12,7,2019-12-07,28079108_89_98_19_12_07,0.20416666666666672,0.3,0.2,l/m^2
213,39,Precipitation,2019,12,7,2019-12-07,28079039_89_98_19_12_07,0.10000000000000003,0.1,0.1,l/m^2
214,35,Temperature,2019,12,7,2019-12-07,28079035_83_98_19_12_07,4.291666666666667,5.0,4.0,ºC
215,114,Temperature,2019,12,7,2019-12-07,28079114_83_98_19_12_07,5.291666666666667,9.0,3.0,ºC
216,59,Temperature,2019,12,7,2019-12-07,28079059_83_98_19_12_07,29.125,107.0,10.0,ºC
217,24,Temperature,2019,12,7,2019-12-07,28079024_83_98_19_12_07,69.80624999999999,95.7,32.49,ºC
218,102,Temperature,2019,12,7,2019-12-07,28079102_83_98_19_12_07,0.07125000000000005,0.08,0.07,ºC
219,108,Temperature,2019,12,7,2019-12-07,28079108_83_98_19_12_07,1.375,3.0,1.0,ºC
220,106,Precipitation,2019,12,7,2019-12-07,28079106_89_98_19_12_07,13.083333333333336,56.0,4.0,l/m^2
221,109,Temperature,2019,12,7,2019-12-07,28079109_83_98_19_12_07,0.3541666666666667,0.5,0.3,ºC
222,54,Temperature,2019,12,7,2019-12-07,28079054_83_98_19_12_07,40.41666666666666,89.0,10.0,ºC
223,102,Precipitation,2019,12,7,2019-12-07,28079102_89_98_19_12_07,83.2525,103.3,53.53,l/m^2
224,59,Precipitation,2019,12,7,2019-12-07,28079059_89_98_19_12_07,9.791666666666666,15.0,8.0,l/m^2
225,115,Temperature,2019,12,7,2019-12-07,28079115_83_98_19_12_07,9.0,12.0,8.0,ºC
226,110,Temperature,2019,12,7,2019-12-07,28079110_83_98_19_12_07,12.541666666666664,41.0,1.0,ºC
227,36,Temperature,2019,12,7,2019-12-07,28079036_83_98_19_12_07,33.25,90.0,7.0,ºC
228,58,Temperature,2019,12,7,2019-12-07,28079058_83_98_19_12_07,78.745,98.27,36.21,ºC
229,35,Temperature,2019,12,8,2019-12-08,28079035_83_98_19_12_08,17.666666666666668,60.0,4.0,ºC
230,36,Temperature,2019,12,8,2019-12-08,28079036_83_98_19_12_08,22.75,81.0,8.0,ºC
231,24,Temperature,2019,12,8,2019-12-08,28079024_83_98_19_12_08,9.541666666666666,11.0,9.0,ºC
232,24,Precipitation,2019,12,8,2019-12-08,28079024_89_98_19_12_08,4.25,17.0,1.0,l/m^2
233,54,Temperature,2019,12,8,2019-12-08,28079054_83_98_19_12_08,2.875,10.0,1.0,ºC
234,38,Temperature,2019,12,8,2019-12-08,28079038_83_98_19_12_08,78.67875000000002,97.62,45.45,ºC
235,54,Precipitation,2019,12,8,2019-12-08,28079054_89_98_19_12_08,19.83333333333333,56.0,7.0,l/m^2
236,56,Temperature,2019,12,8,2019-12-08,28079056_83_98_19_12_08,16.208333333333332,52.0,6.0,ºC
237,18,Temperature,2019,12,8,2019-12-08,28079018_83_98_19_12_08,71.09958333333333,96.33,14.59,ºC
238,58,Temperature,2019,12,8,2019-12-08,28079058_83_98_19_12_08,29.45833333333333,88.0,12.0,ºC
239,106,Temperature,2019,12,8,2019-12-08,28079106_83_98_19_12_08,5.416666666666668,11.0,1.0,ºC
240,106,Precipitation,2019,12,8,2019-12-08,28079106_89_98_19_12_08,0.4416666666666667,1.0,0.2,l/m^2
241,109,Temperature,2019,12,8,2019-12-08,28079109_83_98_19_12_08,28.91666666666667,129.0,5.0,ºC
